,distinct_id,locationSetting,notificationSettings,active_timespan,average_session_time,US,Facebook,Foodie,Google,Unknown,num_sessions,sessions_per_day,America/New_York,America/Los_Angeles,America/Chicago,Asia/Kolkata,America/Denver,other_timezone,commentAdded,commentLength,churned
168884,04B83ED8-89B9-477C-BE9F-61BAF1845B08,1,0,14.930520833333333,85.16666666666667,1,0,0,1,1,36,0.2,0,1,0,0,0,0,0,0.0,0
30022,04BA1419-6856-48D0-9980-4506879E0EE5,1,0,53.72739583333333,39.333333333333336,1,0,1,0,1,20,0.1111111111111111,1,0,0,0,0,0,0,0.0,1
89034,04C042FC-7E2F-441C-9D7A-F7E4EA262120,1,1,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
172912,04EEA03C-907A-4170-B602-E3CA8BCA7F05,1,0,15.942881944444444,14.0,1,0,0,1,1,60,0.3333333333333333,0,1,0,0,0,0,0,0.0,0
87473,04EF70D4-B559-4DF0-A061-93553A48DB2A,1,0,212.7414814814815,277.0,1,0,1,0,1,33,0.18333333333333332,1,0,0,0,0,0,0,0.0,0
21474,04F3C298-A095-43F4-A2B9-165BAF8B65D1,1,0,0.3348611111111111,119.0,1,0,1,0,1,9,0.05,1,0,0,0,0,0,0,0.0,1
97929,04F3CAAD-D204-4FCB-B983-5847777CA558,1,1,0.3352893518518518,168.0,0,0,1,0,1,1,0.005555555555555556,0,0,0,1,0,0,0,0.0,1
109089,04F98FA2-9E39-4F91-A054-EB2EB0CEF4B6,1,1,34.65497685185185,71.75,1,1,0,0,1,19,0.10555555555555556,0,0,1,0,0,0,0,0.0,1
72273,05046923-BE72-4FE2-A113-411CCFE4B305,1,1,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
109717,050A63F9-870F-469B-AB37-3F040E0CD18F,1,0,9.714884259259259,90.66666666666669,1,0,1,0,1,59,0.3277777777777778,1,0,0,0,0,0,0,0.0,0
